Year,Cranes,Comment,
1940,22,,
1950,34,,
1960,33,,
1970,56,,
1980,76,,
1990,146,,
1991,132,,
1992,136,,
1993,143,,
1994,133,,
1995,158,,
1996,160,,
1997,182,,
1998,183,,
1999,185,,
2000,177,,
2001,174,,
2002,185,,
2003,194,,
2004,216,,
2005,218,,
2006,237,,
2007,266,,
2008,270,,
2009,263,,
2010,281,,
2011,245,"The winter 2011-12 count presented many challenges to getting an accurate total. Warm weather and extreme drought conditions on the Texas wintering grounds in winter 2011-02 are believed to have caused much wider dispersal of cranes, making a direct count difficult. Whoopers that normally remain on or near Aransas NWR were detected in Nebraska, Kansas, Oklahoma, and eight counties in Texas. Officials had hoped for 300 Whooping cranes to migrate south after the 2011 breeding season in Canada.",
2012,279,"The winter 2012-13 count was not finalized until March 2013, and it was based on a new method. Bologists at Aransas NWR have switched from direct count to estimates.",
2013,304,"In December 2013 the peak population size of the western flock on the primary wintering grounds was estimated as 304 birds (95% confidence interval [CI] 260–364), and additional birds were located outside the survey area. Whooping cranes faced challenging conditions due to forest fires during the 2013 breeding season and continued drought during the wintering season Texas.",
2014,314,,
2015,329,,
